iter	Logloss
0	0.6369218401
1	0.589673894
2	0.5484222974
3	0.5141150832
4	0.4841019229
5	0.4586142268
6	0.4365924828
7	0.418414729
8	0.4024864211
9	0.3884500694
10	0.3762016718
11	0.3656126728
12	0.3566437136
13	0.348523174
14	0.341387238
15	0.3351270578
16	0.329646434
17	0.3247578706
18	0.3205912214
19	0.316846482
20	0.3133237498
21	0.3101163427
22	0.3072266361
23	0.3047945886
24	0.3022507014
25	0.2999935438
26	0.298078311
27	0.296342134
28	0.2946395593
29	0.29309903
30	0.2916954462
31	0.290440234
32	0.2893465421
33	0.2882362622
34	0.2872180873
35	0.2862884095
36	0.2853912954
37	0.2846201869
38	0.2839012161
39	0.2831659556
40	0.2824985352
41	0.2819165523
42	0.2813897918
43	0.2808254801
44	0.2803400239
45	0.2798675324
46	0.2793974261
47	0.2789269768
48	0.2785426277
49	0.278171627
50	0.2778108414
51	0.2774617552
52	0.2771381332
53	0.2768340309
54	0.2765770225
55	0.2763117695
56	0.2760524825
57	0.2758161292
58	0.2755946103
59	0.2753906715
60	0.2751758452
61	0.2749780099
62	0.2747911842
63	0.2746149941
64	0.2744523054
65	0.2743007212
66	0.2741298227
67	0.2739772407
68	0.2738402603
69	0.2736996276
70	0.2735530483
71	0.2734357251
72	0.2733002872
73	0.2731862677
74	0.273069272
75	0.2729670972
76	0.2728714483
77	0.2727721277
78	0.27268514
79	0.2726051955
80	0.2725088859
81	0.2724265776
82	0.2723560152
83	0.2722872314
84	0.2722085193
85	0.2721431885
86	0.272071727
87	0.2719955628
88	0.2719299917
89	0.2718691755
90	0.2718110855
91	0.2717323211
92	0.2716629251
93	0.2716109561
94	0.2715504867
95	0.2714985584
96	0.2714347505
97	0.2713841882
98	0.2713307292
99	0.2712897697
100	0.2711877519
101	0.2711486061
102	0.2711035544
103	0.2710574428
104	0.2710130887
105	0.2709762912
106	0.2709344327
107	0.2708967343
108	0.2708583752
109	0.27082567
110	0.2707956252
111	0.2707629026
112	0.2707266303
113	0.2706757076
114	0.2706473331
115	0.2706153855
116	0.270570733
117	0.2705390296
118	0.2705053401
119	0.2704723055
120	0.2704462251
121	0.2704170755
122	0.2703879395
123	0.2703365827
124	0.2703195549
125	0.2702927362
126	0.2702511916
127	0.2702254019
128	0.2701754732
129	0.2701468525
130	0.2701144826
131	0.2700881987
132	0.2700630057
133	0.2700417829
134	0.2700167663
135	0.2699939856
136	0.2699756615
137	0.2699587887
138	0.2699236208
139	0.2699014486
140	0.2698807974
141	0.2698515257
142	0.2698294465
143	0.2698118606
144	0.26977864
145	0.2697440089
146	0.2697262544
147	0.2697074672
148	0.2696872132
149	0.2696554362
150	0.2696374938
151	0.2696179393
152	0.2695996365
153	0.2695738545
154	0.2695717018
155	0.2695401631
156	0.2695242804
157	0.2695067449
158	0.2694880797
159	0.2694723714
160	0.2694533885
161	0.2694401623
162	0.269425386
163	0.2694101989
164	0.2694027972
165	0.2693868214
166	0.26937152
167	0.2693558466
168	0.2693319092
169	0.2693180319
170	0.2693043271
171	0.2692915523
172	0.2692788067
173	0.2692577331
174	0.2692466712
175	0.2692297092
176	0.2692136269
177	0.2692015032
178	0.2691890598
179	0.2691758219
180	0.2691654576
181	0.2691508576
182	0.2691395574
183	0.2691172224
184	0.2691019617
185	0.2690932927
186	0.2690737053
187	0.2690650945
188	0.2690500023
189	0.2690330501
190	0.2690220928
191	0.269008636
192	0.2689843227
193	0.2689719994
194	0.2689614742
195	0.2689493292
196	0.2689399995
197	0.2689178021
198	0.2689094742
199	0.2688931788
200	0.2688725528
201	0.2688595068
202	0.2688430118
203	0.2688317464
204	0.2688244377
205	0.2688026452
206	0.2687332357
207	0.2687182927
208	0.2687041868
209	0.2686924099
210	0.2686790132
211	0.2686668914
212	0.2686462015
213	0.2686361646
214	0.268627517
215	0.2686178599
216	0.2685975671
217	0.2685880689
218	0.268577567
219	0.268566383
220	0.2685498473
221	0.2685412326
222	0.2685312752
223	0.2685242358
224	0.2685059349
225	0.2684948827
226	0.268476235
227	0.2684544523
228	0.2684383894
229	0.2684252058
230	0.2684054846
231	0.268395998
232	0.2683826168
233	0.2683413997
234	0.2683302544
235	0.2683177316
236	0.2682829202
237	0.2682676518
238	0.2682554002
239	0.2682183896
240	0.2682107651
241	0.2682011351
242	0.2681880135
243	0.2681639269
244	0.2681580268
245	0.2681445952
246	0.2681102237
247	0.2680752166
248	0.2680559334
249	0.26804523
250	0.2680344684
251	0.2680235983
252	0.2680085488
253	0.2679999302
254	0.2679853826
255	0.2679731775
256	0.2679566457
257	0.2679357988
258	0.2679287826
259	0.2679101194
260	0.2678951435
261	0.2678782126
262	0.2678667128
263	0.2678536144
264	0.2678301731
265	0.267799454
266	0.267791686
267	0.267770812
268	0.2677592212
269	0.2677447142
270	0.2677347199
271	0.2677233615
272	0.2677107437
273	0.2676992439
274	0.2676882189
275	0.267680542
276	0.2676674688
277	0.2676269066
278	0.2676070634
279	0.2675958136
280	0.2675841084
281	0.267569646
282	0.2675349819
283	0.2675037958
284	0.2674847296
285	0.2674731968
286	0.2674489029
287	0.2674351283
288	0.2674227644
289	0.2674059109
290	0.2673940817
291	0.2673852752
292	0.2673574819
293	0.2673485592
294	0.2673291558
295	0.2673112095
296	0.2672949626
297	0.2672835383
298	0.2672538307
299	0.2672432784
300	0.2672291899
301	0.2672194514
302	0.2672029971
303	0.2671763218
304	0.2671641419
305	0.2671529192
306	0.2671397356
307	0.2671226845
308	0.2671066081
309	0.2670796867
310	0.2670678168
311	0.2670523507
312	0.2670361987
313	0.267011959
314	0.2669961751
315	0.2669812225
316	0.2669682036
317	0.2669450703
318	0.2669338728
319	0.2669194336
320	0.2669086449
321	0.2668948161
322	0.2668826439
323	0.2668693169
324	0.2668583326
325	0.2668454357
326	0.266832225
327	0.2668240482
328	0.2668042031
329	0.2667937671
330	0.2667832109
331	0.2667743753
332	0.2667645593
333	0.2667548944
334	0.2667444565
335	0.2667360859
336	0.2667287578
337	0.2667197111
338	0.2667096529
339	0.2666964053
340	0.2666863917
341	0.2666756204
342	0.2666655235
343	0.2666486274
344	0.266627858
345	0.266609809
346	0.2665955346
347	0.2665819305
348	0.2665674681
349	0.2665587681
350	0.2665490781
351	0.2665402309
352	0.2665281149
353	0.2665206919
354	0.2665128232
355	0.266499719
356	0.2664852159
357	0.2664725652
358	0.266463532
359	0.2664503813
360	0.2664362192
361	0.2664268973
362	0.2664190693
363	0.2664066375
364	0.2663951804
365	0.2663816751
366	0.2663715355
367	0.2663631379
368	0.2663504193
369	0.2663380379
370	0.2663253852
371	0.2663106244
372	0.2662962879
373	0.266286251
374	0.2662780413
375	0.2662696766
376	0.2662554312
377	0.2662444797
378	0.266236797
379	0.2662244951
380	0.2662153553
381	0.2662043573
382	0.2661916698
383	0.2661814469
384	0.2661713867
385	0.2661571684
386	0.2661425801
387	0.2661342677
388	0.2661236669
389	0.2661094893
390	0.2660995706
391	0.2660932714
392	0.2660836259
393	0.2660733468
394	0.2660587604
395	0.2660467975
396	0.2660369466
397	0.2660264989
398	0.2660172662
399	0.2659981748
400	0.2659889962
401	0.2659809125
