iter	Passed	Remaining
0	232	115842
1	272	67758
2	309	51344
3	350	43452
4	390	38708
5	428	35281
6	470	33166
7	513	31590
8	555	30316
9	597	29255
10	638	28386
11	676	27527
12	729	27341
13	771	26767
14	812	26271
15	854	25838
16	900	25573
17	943	25276
18	986	24972
19	1029	24705
20	1071	24434
21	1117	24282
22	1164	24158
23	1209	23979
24	1251	23785
25	1302	23739
26	1345	23574
27	1384	23339
28	1428	23202
29	1469	23025
30	1510	22854
31	1551	22687
32	1591	22526
33	1635	22417
34	1673	22238
35	1714	22099
36	1753	21945
37	1792	21792
38	1832	21656
39	1874	21553
40	1912	21415
41	1951	21283
42	1997	21224
43	2039	21132
44	2077	21007
45	2125	20980
46	2167	20891
47	2208	20799
48	2252	20736
49	2289	20606
50	2327	20491
51	2364	20369
52	2402	20261
53	2441	20166
54	2485	20113
55	2524	20014
56	2562	19915
57	2603	19837
58	2644	19766
59	2686	19698
60	2727	19628
61	2767	19553
62	2809	19485
63	2847	19398
64	2887	19320
65	2927	19250
66	2973	19219
67	3020	19186
68	3059	19110
69	3096	19023
70	3136	18952
71	3177	18887
72	3216	18811
73	3260	18770
74	3301	18706
75	3342	18646
76	3380	18569
77	3418	18492
78	3459	18435
79	3498	18367
80	3538	18303
81	3582	18262
82	3619	18183
83	3658	18119
84	3703	18082
85	3744	18028
86	3784	17966
87	3824	17905
88	3863	17840
89	3900	17770
90	3938	17700
91	3976	17635
92	4020	17593
93	4056	17519
94	4092	17446
95	4133	17395
96	4171	17331
97	4209	17269
98	4246	17202
99	4285	17140
100	4325	17088
101	4366	17039
102	4407	16987
103	4451	16949
104	4491	16895
105	4530	16839
106	4572	16795
107	4612	16741
108	4652	16687
109	4687	16620
110	4727	16567
111	4766	16513
112	4810	16473
113	4848	16416
114	4891	16374
115	4927	16312
116	4988	16331
117	5041	16321
118	5085	16282
119	5130	16247
120	5170	16196
121	5212	16150
122	5249	16091
123	5291	16045
124	5328	15985
125	5365	15927
126	5404	15873
127	5444	15822
128	5484	15772
129	5522	15717
130	5567	15681
131	5612	15648
132	5649	15588
133	5695	15555
134	5734	15505
135	5772	15450
136	5816	15410
137	5854	15358
138	5891	15302
139	5929	15246
140	5971	15204
141	6013	15161
142	6051	15107
143	6090	15057
144	6132	15013
145	6169	14959
146	6213	14920
147	6253	14872
148	6289	14817
149	6328	14766
150	6366	14713
151	6405	14664
152	6445	14618
153	6484	14568
154	6512	14494
155	6554	14454
156	6597	14413
157	6644	14383
158	6683	14333
159	6721	14283
160	6765	14245
161	6808	14204
162	6845	14152
163	6890	14117
164	6920	14050
165	6958	14001
166	6997	13952
167	7035	13904
168	7072	13852
169	7111	13804
170	7153	13764
171	7195	13721
172	7249	13702
173	7288	13655
174	7326	13606
175	7365	13559
176	7409	13521
177	7446	13471
178	7484	13421
179	7524	13377
180	7565	13334
181	7608	13293
182	7646	13245
183	7698	13221
184	7738	13177
185	7775	13125
186	7813	13078
187	7851	13030
188	7892	12987
189	7933	12944
190	7971	12896
191	8009	12848
192	8049	12803
193	8087	12756
194	8129	12714
195	8169	12670
196	8207	12624
197	8247	12578
198	8292	12543
199	8339	12509
200	8388	12478
201	8432	12439
202	8479	12405
203	8521	12364
204	8562	12321
205	8601	12276
206	8645	12237
207	8684	12191
208	8734	12160
209	8781	12126
210	8829	12093
211	8873	12054
212	8918	12017
213	8972	11990
214	9015	11951
215	9066	11920
216	9118	11891
217	9161	11850
218	9208	11815
219	9257	11782
220	9310	11753
221	9351	11710
222	9393	11667
223	9430	11619
224	9471	11576
225	9512	11532
226	9552	11488
227	9592	11443
228	9635	11402
229	9679	11363
230	9723	11322
231	9766	11281
232	9805	11236
233	9846	11192
234	9888	11150
235	9929	11107
236	9971	11065
237	10013	11023
238	10050	10975
239	10093	10934
240	10133	10890
241	10180	10853
242	10223	10812
243	10261	10765
244	10302	10722
245	10341	10678
246	10381	10633
247	10425	10594
248	10463	10547
249	10503	10503
250	10541	10457
251	10581	10413
252	10623	10371
253	10666	10330
254	10707	10287
255	10748	10244
256	10786	10199
257	10831	10159
258	10867	10112
259	10906	10067
260	10947	10024
261	10984	9978
262	11024	9934
263	11062	9889
264	11103	9846
265	11145	9804
266	11184	9759
267	11227	9719
268	11274	9681
269	11320	9643
270	11364	9603
271	11408	9563
272	11454	9524
273	11500	9486
274	11548	9448
275	11593	9409
276	11643	9373
277	11692	9337
278	11738	9298
279	11804	9275
280	11858	9241
281	11908	9205
282	11955	9167
283	12005	9130
284	12054	9093
285	12101	9054
286	12147	9015
287	12192	8974
288	12238	8935
289	12289	8898
290	12337	8860
291	12382	8820
292	12429	8781
293	12472	8738
294	12521	8701
295	12569	8662
296	12618	8624
297	12665	8585
298	12710	8544
299	12757	8505
300	12804	8465
301	12841	8419
302	12886	8378
303	12929	8335
304	12977	8297
305	13021	8255
306	13065	8213
307	13108	8171
308	13157	8132
309	13200	8090
310	13244	8049
311	13289	8007
312	13336	7967
313	13380	7925
314	13430	7887
315	13474	7846
316	13513	7800
317	13557	7759
318	13601	7717
319	13646	7676
320	13697	7638
321	13740	7595
322	13785	7554
323	13827	7511
324	13874	7471
325	13916	7427
326	13961	7386
327	14006	7344
328	14048	7301
329	14089	7258
330	14133	7216
331	14174	7172
332	14217	7130
333	14261	7088
334	14309	7047
335	14352	7005
336	14392	6961
337	14439	6920
338	14485	6879
339	14532	6838
340	14573	6795
341	14619	6754
342	14666	6713
343	14709	6670
344	14756	6629
345	14802	6588
346	14850	6547
347	14926	6519
348	14978	6480
349	15027	6440
350	15074	6399
351	15115	6355
352	15158	6312
353	15205	6271
354	15253	6230
355	15302	6189
356	15353	6149
357	15396	6106
358	15444	6065
359	15492	6024
360	15540	5983
361	15586	5941
362	15628	5898
363	15675	5856
364	15726	5816
365	15773	5775
366	15816	5732
367	15861	5689
368	15908	5647
369	15955	5605
370	16001	5563
371	16047	5521
372	16092	5479
373	16137	5436
374	16181	5393
375	16224	5350
376	16267	5307
377	16315	5265
378	16364	5224
379	16411	5182
380	16452	5138
381	16499	5096
382	16551	5056
383	16594	5012
384	16638	4970
385	16684	4927
386	16724	4883
387	16767	4839
388	16812	4797
389	16855	4754
390	16894	4709
391	16937	4666
392	16978	4622
393	17019	4578
394	17059	4534
395	17104	4492
396	17143	4447
397	17183	4403
398	17224	4360
399	17267	4316
400	17310	4273
401	17355	4231
402	17393	4186
403	17432	4142
404	17469	4097
405	17507	4053
406	17546	4009
407	17586	3965
408	17625	3921
409	17665	3877
410	17706	3834
411	17748	3790
412	17789	3747
413	17828	3703
414	17864	3659
415	17906	3615
416	17946	3572
417	17985	3528
418	18029	3485
419	18068	3441
420	18107	3397
421	18148	3354
422	18185	3310
423	18225	3266
424	18267	3223
425	18309	3180
426	18348	3136
427	18385	3092
428	18423	3049
429	18463	3005
430	18503	2962
431	18541	2918
432	18588	2876
433	18629	2833
434	18669	2789
435	18708	2746
436	18747	2702
437	18789	2659
438	18831	2616
439	18871	2573
440	18911	2530
441	18953	2487
442	18993	2443
443	19034	2400
444	19073	2357
445	19116	2314
446	19156	2271
447	19196	2228
448	19235	2184
449	19273	2141
450	19313	2098
451	19358	2055
452	19399	2012
